iter	Passed	Remaining
0	2	2915
1	5	2860
2	8	2889
3	11	2937
4	14	2940
5	17	2933
6	20	2897
7	23	2892
8	26	2878
9	29	2871
10	31	2857
11	34	2841
12	36	2797
13	39	2792
14	42	2796
15	45	2815
16	48	2824
17	51	2835
18	54	2819
19	57	2825
20	60	2823
21	63	2820
22	66	2816
23	69	2811
24	71	2802
25	74	2786
26	77	2775
27	79	2762
28	82	2758
29	85	2750
30	88	2752
31	90	2740
32	93	2733
33	95	2726
34	98	2719
35	101	2715
36	104	2708
37	106	2699
38	109	2694
39	111	2681
40	114	2680
41	117	2675
42	119	2667
43	122	2661
44	125	2653
45	127	2650
46	130	2648
47	133	2641
48	136	2643
49	138	2640
50	141	2640
51	144	2639
52	147	2637
53	150	2635
54	153	2630
55	156	2634
56	159	2644
57	163	2647
58	165	2646
59	168	2637
60	170	2618
61	173	2621
62	176	2625
63	179	2624
64	182	2622
65	184	2607
66	187	2610
67	190	2611
68	193	2610
69	196	2610
70	200	2617
71	203	2622
72	206	2624
73	209	2621
74	212	2618
75	215	2617
76	218	2615
77	221	2612
78	223	2608
79	226	2607
80	229	2608
81	233	2609
82	236	2612
83	239	2612
84	242	2613
85	245	2611
86	248	2606
87	251	2602
88	253	2599
89	256	2595
90	259	2594
91	262	2591
92	265	2587
93	268	2583
94	271	2581
95	273	2579
96	277	2579
97	279	2576
98	282	2574
99	285	2569
100	288	2566
101	291	2566
102	294	2564
103	297	2560
104	300	2558
105	302	2553
106	305	2548
107	308	2548
108	311	2548
109	314	2546
110	317	2543
111	320	2539
112	323	2536
113	325	2531
114	328	2527
115	331	2523
116	333	2519
117	336	2517
118	339	2516
119	342	2512
120	345	2510
121	349	2513
122	352	2514
123	354	2505
124	357	2505
125	361	2504
126	364	2504
127	367	2503
128	370	2501
129	373	2499
130	376	2500
131	380	2499
132	383	2499
133	386	2499
134	390	2502
135	394	2505
136	397	2506
137	401	2505
138	404	2506
139	407	2505
140	411	2504
141	414	2503
142	417	2502
143	420	2500
144	423	2498
145	427	2497
146	430	2496
147	433	2496
148	437	2497
149	440	2497
150	443	2494
151	446	2491
152	449	2490
153	452	2488
154	456	2487
155	459	2485
156	462	2484
157	465	2481
158	468	2479
159	472	2478
160	473	2469
161	477	2467
162	480	2465
163	483	2463
164	486	2461
165	489	2458
166	492	2456
167	495	2452
168	498	2451
169	501	2449
170	505	2448
171	508	2447
172	511	2445
173	514	2443
174	517	2441
175	520	2439
176	524	2437
177	527	2436
178	530	2434
179	533	2431
180	537	2430
181	540	2428
182	543	2427
183	548	2431
184	551	2430
185	555	2430
186	558	2428
187	561	2426
188	564	2422
189	567	2419
190	570	2417
191	574	2416
192	577	2415
193	581	2415
194	584	2412
195	587	2410
196	591	2409
197	594	2408
198	597	2405
199	600	2403
200	604	2401
201	607	2399
202	610	2396
203	613	2393
204	616	2391
205	619	2388
206	622	2386
207	626	2384
208	629	2381
209	632	2379
210	635	2377
211	639	2375
212	642	2373
213	645	2371
214	648	2368
215	651	2366
216	655	2364
217	658	2362
218	661	2360
219	664	2357
220	668	2355
221	671	2353
222	674	2351
223	677	2348
224	681	2346
225	684	2344
226	687	2341
227	690	2339
228	694	2336
229	697	2334
230	700	2331
231	703	2329
232	707	2328
233	710	2327
234	714	2324
235	717	2321
236	720	2319
237	723	2317
238	726	2314
239	730	2311
240	733	2309
241	736	2307
242	739	2304
243	742	2301
244	745	2298
245	748	2294
246	752	2292
247	755	2289
248	758	2286
249	761	2284
250	764	2281
251	767	2277
252	770	2274
253	773	2271
254	776	2268
255	779	2265
256	782	2262
257	785	2259
258	789	2257
259	793	2257
260	796	2254
261	799	2251
262	802	2249
263	805	2246
264	808	2243
265	811	2239
266	814	2236
267	817	2233
268	820	2230
269	823	2227
